,tagName,innerHtml,innerText,href,locationX,locationY,className,hasCurrencySIgn,hasPercantage,hasNumber,hasPriceInName,isLink,cssFontSize,cssFontStyle,cssFontWidth,cssFontColor,cssFontWeight,cssBgColor,cssHeight
321,a,Obejrzyj w sklepie,obejrzyj w sklepie,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml?link=mainnavi&main_cat_menu=Telewizory#,627,2859,class depositories-button js-depositories,False,False,False,False,True,10px,normal,132px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",28px
322,a,Zadzwoń i zamów,zadzwoń i zamów,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml?link=mainnavi&main_cat_menu=Telewizory#,772,2858,class call-button js-call,False,False,False,False,True,10px,normal,129px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",28px
323,div,2&nbsp;899&nbsp;zł,2 899 zł,,1033,2530,class price-normal selenium-price-normal,True,False,True,True,,39px,normal,215px,"rgb(227, 6, 19)",700,"rgba(0, 0, 0, 0)",40px
324,div,3&nbsp;199&nbsp;zł,3 199 zł,,1101,2588,class price-old,True,False,True,True,,14px,normal,50px,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",17px
325,div,Cena obowiązuje: 16.08.2019 - 29.08.2019,cena obowiązuje: 16.08.2019 - 29.08.2019,,1033,2605,class price-promotion-date,False,False,True,True,,11px,normal,215px,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",14px
326,span,RATY:,raty:,,1072,2641,class price-instalments-label,False,False,False,True,,14px,normal,38px,"rgb(102, 102, 102)",700,"rgba(0, 0, 0, 0)",18px
327,a,"96,63 zł x 30 rat 0%","96,63 zł x 30 rat 0%",https://www.euro.com.pl/telewizory-led-lcd-plazmowe/samsung-ue58ru7102k.bhtml#raty,1125,2641,class price-instalments selenium-price-instalments js-scroll-by-hash,True,True,True,True,True,14px,normal,123px,"rgb(227, 6, 19)",700,"rgba(0, 0, 0, 0)",17px
328,a,Darmowy transport,darmowy transport,https://www.euro.com.pl/cms/darmowy-transport.bhtml?link=wlepka,1033,2685,class ,False,False,False,False,True,12px,normal,215px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",15px
329,a,Do odbioru:       już jutro!,do odbioru: już jutro!,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml?link=mainnavi&main_cat_menu=Telewizory#,1033,2710,class shop-delivery-action js-shop-delivery,False,False,False,False,True,12px,normal,137px,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",19px
330,span,Do domu:,do domu:,,1055,2736,class ,False,False,False,False,,12px,normal,auto,"rgb(0, 92, 169)",700,"rgba(0, 0, 0, 0)",auto
331,button,Do koszyka,do koszyka,,1033,2764,class add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button,False,False,False,False,,16px,normal,215px,"rgb(28, 28, 27)",700,"rgb(255, 232, 67)",57.2px
332,a,Lin 32LHD1510,lin 32lhd1510,https://www.euro.com.pl/telewizory-led-lcd-plazmowe/lin-32lhd1510.bhtml,409,2914,class js-save-keyword selenium-lp-product-link,False,False,True,False,True,20px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
333,em,(341 opinii),(341 opinii),,498,2945,class ,False,False,True,False,,12px,normal,auto,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",auto
334,a,telewizor LED,telewizor led,https://www.euro.com.pl/telewizory-led-lcd-plazmowe.bhtml,571,2947,class ,False,False,False,False,True,12px,normal,auto,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",auto
335,a,Lin,lin,https://www.euro.com.pl/search.bhtml?keyword=Lin&searchType=tag,646,2947,class product-brand,False,False,False,False,True,12px,normal,16px,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",15px
336,a,Karta produktu,karta produktu,https://www.euro.com.pl/product-energy-cards/11344008412.PDF,786,2977,class energy-card js-energy-card,False,False,False,False,True,12px,normal,81px,"rgb(153, 153, 153)",400,"rgba(0, 0, 0, 0)",30px
337,a,Ekran&nbsp;,ekran,https://www.euro.com.pl/slownik.bhtml?definitionId=14189958977,679,3022,class js-dictionary,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",400,"rgba(0, 0, 0, 0)",auto
338,span,"32 cale, HD Ready, 1366 x 768","32 cale, hd ready, 1366 x 768",,715,3022,class attribute-value,False,False,True,False,,12px,normal,auto,"rgb(28, 28, 27)",700,"rgba(0, 0, 0, 0)",auto
339,a,Częstotliwość odświeżania ekranu&nbsp;,częstotliwość odświeżania ekranu,https://www.euro.com.pl/slownik.bhtml?definitionId=37082770321,679,3042,class js-dictionary,False,False,False,False,True,12px,normal,auto,"rgb(28, 28, 27)",400,"rgba(0, 0, 0, 0)",auto
