tagName;className;locationX;locationY;isLink;hasCurrencySIgn;hasPercantage;hasNumber;hasPriceInName;innerText[:100]
a;fancydict;794;8290;True;False;False;False;False;wi-fi
a;fancydict;829;8290;True;False;False;False;False;dlna
a;fancydict;867;8290;True;False;False;False;False;usb - multimedia
a;fancydict;679;8305;True;False;False;False;False;bluetooth
a;fancydict;739;8305;True;False;False;False;False;obsługa głosowa
a;fancydict;832;8305;True;False;False;True;False;hdmi x3
a;fancydict;885;8305;True;False;False;True;False;usb x2
div;name;695;8347;False;False;False;False;False;ekran:
div;value;740;8347;False;False;False;True;False;43 cale
a;variant-itemjs-variant-item active-item variant-one;685;8381;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;8418;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;8455;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;8492;True;False;False;False;False;
a;depositories-button js-depositories;627;8384;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;8383;True;False;False;False;False;zadzwoń i zamów
span;tab-price;1166;8066;False;True;False;True;True;- 2 223 zł
div;price-normal selenium-price-normal;1033;8092;False;True;False;True;True;2 339 zł
span;price-instalments-label;1072;8162;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;8162;True;True;True;True;True;46,78 zł x 50 rat 0%
a;;1033;8267;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;8292;True;False;False;False;False;do odbioru: już pojutrze!
span;;1055;8318;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;8345;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;8439;True;False;False;True;False;lg oled65c8pla
em;;498;8470;False;False;False;True;False;(35 opinii)
a;;564;8472;True;False;False;False;False;telewizor oled
a;product-brand;649;8472;True;False;False;False;False;lg
a;energy-card js-energy-card;786;8502;True;False;False;False;False;karta produktu
a;js-dictionary;679;8605;True;False;False;False;False;ekran
span;attribute-value;715;8605;False;False;False;True;False;65 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;8625;True;False;False;False;False;smart tv
span;attribute-value;732;8625;False;False;False;False;False;tak
a;js-dictionary;679;8645;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;8645;False;False;False;True;False;100 hz
span;attribute-name;679;8665;False;False;False;False;False;funkcje
a;fancydict;726;8665;True;False;False;False;False;hdr
a;fancydict;757;8665;True;False;False;False;False;smart
a;fancydict;794;8665;True;False;False;False;False;wi-fi
a;fancydict;829;8665;True;False;False;False;False;dlna
a;fancydict;867;8665;True;False;False;False;False;usb - multimedia
a;fancydict;679;8665;True;False;False;False;False;usb - nagrywanie
