tagName;className;location['x'];location['y'];isLink;hasCurrencySIgn;hasPercantage;hasNumber;hasPriceInName;innerText[:100]
a;depositories-button js-depositories;627;3903;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;3902;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;3574;False;True;False;True;True;2 599 zł
span;price-instalments-label;1072;3644;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;3644;True;True;True;True;True;51,98 zł x 50 rat 0%
a;;1033;3749;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;3774;True;False;False;False;False;do odbioru: już jutro!
span;;1055;3800;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;3827;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;3958;True;False;False;True;False;lin 32lhd1510
em;;498;3989;False;False;False;True;False;(340 opinii)
a;;571;3991;True;False;False;False;False;telewizor led
a;product-brand;646;3991;True;False;False;False;False;lin
a;energy-card js-energy-card;786;4021;True;False;False;False;False;karta produktu
a;js-dictionary;679;4066;True;False;False;False;False;ekran
span;attribute-value;715;4066;False;False;False;True;False;32 cale, hd ready, 1366 x 768
a;js-dictionary;679;4086;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;4086;False;False;False;True;False;50 hz
span;attribute-name;679;4106;False;False;False;False;False;funkcje
a;fancydict;726;4106;True;False;False;False;False;usb - multimedia
a;fancydict;822;4106;True;False;False;True;False;hdmi x2
a;fancydict;875;4106;True;False;False;True;False;usb x2
a;depositories-button js-depositories;627;4256;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;4255;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;3949;False;True;False;True;True;499 zł
span;price-instalments-label;1080;4019;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1133;4019;True;True;True;True;True;9,98 zł x 50 rat 0%
a;;1033;4124;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;4149;True;False;False;False;False;do odbioru: już jutro!
span;;1055;4175;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;4202;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;4311;True;False;False;True;False;philips 32pfs5823/12
em;;498;4342;False;False;False;True;False;(183 opinie)
a;;574;4344;True;False;False;False;False;telewizor led
a;product-brand;649;4344;True;False;False;False;False;philips
a;energy-card js-energy-card;786;4374;True;False;False;False;False;karta produktu
